system:time_start,0,1
"Mar 21, 2019",0.134,0.134
"Mar 21, 2019",0.134,0.134
"Mar 31, 2019",0.136,0.135
"Mar 31, 2019",0.136,0.135
"Apr 2, 2019",0.147,0.145
"Apr 2, 2019",0.147,0.145
"Apr 5, 2019",0.129,0.143
"Apr 5, 2019",0.129,0.143
"Apr 7, 2019",,
"Apr 20, 2019",0.141,0.149
"Apr 20, 2019",0.141,0.149
"Apr 22, 2019",0.143,0.145
"Apr 22, 2019",0.143,0.145
"Apr 25, 2019",0.129,0.136
"Apr 25, 2019",0.129,0.136
"Apr 27, 2019",0.129,0.139
"Apr 27, 2019",0.129,0.139
"May 5, 2019",0.147,0.148
"May 5, 2019",0.147,0.148
"May 12, 2019",0.167,0.166
"May 17, 2019",0.197,0.188
"May 20, 2019",0.211,0.205
"May 20, 2019",0.211,0.205
"May 27, 2019",0.318,0.345
"May 27, 2019",0.318,0.345
"May 30, 2019",0.387,0.412
"May 30, 2019",0.387,0.412
"Jun 1, 2019",0.423,0.46
"Jun 1, 2019",0.423,0.46
"Jun 4, 2019",0.418,0.493
"Jun 4, 2019",0.418,0.493
"Jun 9, 2019",0.664,0.713
"Jun 11, 2019",0.639,0.684
"Jun 11, 2019",0.639,0.684
"Jun 14, 2019",0.654,0.697
"Jun 16, 2019",0.706,0.758
"Jun 16, 2019",0.706,0.758
"Jun 19, 2019",0.534,0.421
"Jun 19, 2019",0.534,0.421
"Jun 21, 2019",0.721,0.766
"Jun 21, 2019",0.721,0.766
"Jun 24, 2019",0.504,0.553
"Jun 26, 2019",0.72,0.752
"Jun 26, 2019",0.72,0.752
"Jul 1, 2019",0.645,0.641
"Jul 1, 2019",0.645,0.641
"Jul 4, 2019",0.603,0.549
"Jul 4, 2019",0.603,0.549
"Jul 9, 2019",0.633,0.616
"Jul 11, 2019",0.599,0.554
"Jul 19, 2019",0.411,0.291
"Jul 19, 2019",0.411,0.291
"Jul 21, 2019",0.413,0.35
"Jul 21, 2019",0.413,0.35
"Jul 24, 2019",0.342,0.29
"Jul 24, 2019",0.342,0.29
"Jul 26, 2019",0.333,0.271
"Jul 26, 2019",0.333,0.271
"Jul 31, 2019",0.109,0.097
"Jul 31, 2019",0.109,0.097
"Aug 3, 2019",0.206,0.179
"Aug 3, 2019",0.206,0.179
"Aug 5, 2019",0.254,0.222
"Aug 5, 2019",0.254,0.222
"Aug 8, 2019",0.224,0.189
"Aug 8, 2019",0.224,0.189
"Aug 10, 2019",0.234,0.2
"Aug 10, 2019",0.234,0.2
"Aug 13, 2019",0.21,0.176
"Aug 13, 2019",0.21,0.176
"Aug 20, 2019",0.213,0.178
"Aug 20, 2019",0.213,0.178
"Aug 23, 2019",0.188,0.16
"Aug 23, 2019",0.188,0.16
"Aug 25, 2019",0.196,0.17
"Aug 25, 2019",0.196,0.17
"Aug 28, 2019",0.154,0.026
"Aug 28, 2019",0.154,0.026
"Aug 30, 2019",0.211,0.183
"Aug 30, 2019",0.211,0.183
"Sep 2, 2019",0.17,0.155
"Sep 2, 2019",0.17,0.155
"Sep 7, 2019",0.182,0.169
"Sep 7, 2019",0.182,0.169
"Sep 9, 2019",0.196,0.184
"Sep 9, 2019",0.196,0.184
"Sep 12, 2019",0.185,0.179
"Sep 12, 2019",0.185,0.179
"Sep 14, 2019",0.166,0.165
"Sep 14, 2019",0.166,0.165
"Sep 19, 2019",0.191,0.176
"Sep 19, 2019",0.191,0.176
"Sep 22, 2019",0.103,0.177
"Oct 2, 2019",0.171,0.178
"Oct 2, 2019",0.171,0.178
"Oct 9, 2019",0.135,0.158
"Oct 9, 2019",0.135,0.158
"Oct 12, 2019",0.139,0.167
"Oct 12, 2019",0.139,0.167
"Oct 14, 2019",0.128,0.173
"Oct 14, 2019",0.128,0.173
"Oct 17, 2019",0.141,0.175
"Oct 17, 2019",0.141,0.175
"Nov 3, 2019",0.082,0.102
"Nov 6, 2019",0.071,
"Nov 16, 2019",0.081,0.101
"Nov 16, 2019",0.081,0.101
"Nov 23, 2019",,
"Dec 1, 2019",0.044,0.096
"Dec 1, 2019",0.044,0.096
"Dec 6, 2019",0.05,0.078
"Dec 6, 2019",0.05,0.078
"Jan 2, 2020",0.107,0.134
"Jan 7, 2020",0.116,0.143
"Jan 7, 2020",0.116,0.143
"Jan 15, 2020",0.035,0.056
"Jan 25, 2020",0.099,0.124
"Jan 25, 2020",0.099,0.124
"Feb 4, 2020",0.092,0.12
"Feb 4, 2020",0.092,0.12
"Feb 9, 2020",0.004,0.007
"Feb 9, 2020",0.004,0.007
"Feb 14, 2020",0.081,0.106
"Feb 16, 2020",0.097,0.12
"Feb 16, 2020",0.097,0.12
"Mar 10, 2020",0.094,0.099
"Mar 10, 2020",0.094,0.099
"Mar 12, 2020",0.146,0.17
"Mar 12, 2020",0.146,0.17
"Mar 15, 2020",0.094,0.066
"Mar 17, 2020",0.136,0.147
"Mar 20, 2020",0.112,0.122
"Apr 1, 2020",0.134,0.146
"Apr 1, 2020",0.134,0.146
"Apr 4, 2020",0.124,0.14
"Apr 4, 2020",0.124,0.14
"Apr 6, 2020",0.128,0.139
"Apr 6, 2020",0.128,0.139
"Apr 9, 2020",0.114,0.128
"Apr 9, 2020",0.114,0.128
"Apr 11, 2020",0.121,0.132
"Apr 11, 2020",0.121,0.132
"Apr 14, 2020",,
"Apr 16, 2020",0.126,0.136
"Apr 16, 2020",0.126,0.136
"Apr 24, 2020",0.125,0.139
"Apr 29, 2020",0.131,0.145
"Apr 29, 2020",0.131,0.145
"May 1, 2020",0.133,0.157
"May 1, 2020",0.133,0.157
"May 11, 2020",0.145,0.159
"May 11, 2020",0.145,0.159
"May 16, 2020",0.13,0.155
"May 19, 2020",0.128,0.136
"May 19, 2020",0.128,0.136
"May 31, 2020",0.168,0.161
"Jun 5, 2020",0.201,0.17
"Jun 5, 2020",0.201,0.17
"Jun 8, 2020",0.19,0.162
"Jun 8, 2020",0.19,0.162
"Jun 10, 2020",0.127,0.132
"Jun 10, 2020",0.127,0.132
"Jun 15, 2020",0.038,0.114
"Jun 18, 2020",,
"Jun 23, 2020",0.129,0.129
"Jun 25, 2020",0.134,0.132
"Jun 25, 2020",0.134,0.132
"Jun 28, 2020",0.111,0.117
"Jun 28, 2020",0.111,0.117
"Jun 30, 2020",0.055,0.115
"Jun 30, 2020",0.055,0.115
"Jul 3, 2020",0.1,0.107
"Jul 3, 2020",0.1,0.107
"Jul 5, 2020",0.105,0.111
"Jul 5, 2020",0.105,0.111
"Jul 8, 2020",,
"Jul 10, 2020",0.112,0.087
"Jul 10, 2020",0.112,0.087
"Jul 13, 2020",0.108,0.113
"Jul 13, 2020",0.108,0.113
"Jul 15, 2020",0.019,0.057
"Jul 15, 2020",0.019,0.057
"Jul 18, 2020",0.099,0.108
"Jul 18, 2020",0.099,0.108
"Jul 20, 2020",0.115,0.12
"Jul 23, 2020",0.123,0.132
"Jul 23, 2020",0.123,0.132
"Jul 25, 2020",0.118,0.127
"Jul 25, 2020",0.118,0.127
"Jul 30, 2020",0.105,0.115
"Jul 30, 2020",0.105,0.115
"Aug 2, 2020",0.121,0.003
"Aug 4, 2020",0.117,0.088
"Aug 4, 2020",0.117,0.088
"Aug 7, 2020",0.1,0.106
"Aug 7, 2020",0.1,0.106
"Aug 9, 2020",0.1,0.12
"Aug 9, 2020",0.1,0.12
"Aug 12, 2020",0.118,0.127
"Aug 12, 2020",0.118,0.127
"Aug 17, 2020",0.12,0.126
"Aug 17, 2020",0.12,0.126
"Aug 19, 2020",0.111,0.121
"Aug 19, 2020",0.111,0.121
"Aug 22, 2020",0.074,0.094
"Aug 24, 2020",0.114,0.12
"Aug 24, 2020",0.114,0.12
"Aug 27, 2020",0.101,0.108
"Aug 27, 2020",0.101,0.108
"Aug 29, 2020",0.107,0.114
"Aug 29, 2020",0.107,0.114
"Sep 1, 2020",0.112,0.117
"Sep 1, 2020",0.112,0.117
"Sep 3, 2020",0.087,0.091
"Sep 3, 2020",0.087,0.091
"Sep 6, 2020",0.081,0.088
"Sep 6, 2020",0.081,0.088
"Sep 8, 2020",0.088,0.096
"Sep 11, 2020",0.09,0.097
"Sep 11, 2020",0.09,0.097
"Sep 13, 2020",0.112,0.118
"Sep 13, 2020",0.112,0.118
"Sep 16, 2020",0.087,0.094
"Sep 16, 2020",0.087,0.094
"Sep 18, 2020",0.068,0.058
"Sep 21, 2020",0.1,0.105
"Sep 21, 2020",0.1,0.105
"Sep 23, 2020",0.099,0.105
"Sep 23, 2020",0.099,0.105
"Sep 26, 2020",0.062,0.069
"Sep 26, 2020",0.062,0.069
"Sep 28, 2020",0.096,0.104
"Sep 28, 2020",0.096,0.104
"Oct 6, 2020",0.094,0.101
"Oct 6, 2020",0.094,0.101
"Oct 13, 2020",0.096,0.101
"Oct 13, 2020",0.096,0.101
"Oct 16, 2020",-0.017,-0.036
"Oct 16, 2020",-0.017,-0.036
"Oct 18, 2020",0.104,0.116
"Oct 18, 2020",0.104,0.116
"Oct 23, 2020",0.099,0.064
"Oct 23, 2020",0.099,0.064
"Oct 26, 2020",0.101,0.106
